Date, Open, High, Low, Close, Volume
12/16/22, 270.41, 271.02, 265.76, 266.12, 5932459
12/15/22, 273.79, 274.3799, 269.21, 271.73, 2735847
12/14/22, 275.22, 277.08, 272.30, 274.53, 2660859
12/13/22, 278.68, 279.90, 273.64, 274.28, 3390149
12/12/22, 272.19, 276.71, 271.22, 276.62, 3230450
12/09/22, 273.61, 274.16, 271.72, 272.04, 1677358
12/08/22, 271.00, 273.57, 270.62, 273.39, 3022742
12/07/22, 272.50, 273.98, 269.67, 270.34, 2766448
12/06/22, 271.80, 273.37, 270.03, 271.77, 3573035
12/05/22, 271.02, 272.57, 270.0034, 271.59, 2586940
12/02/22, 269.81, 273.445, 269.62, 273.40, 2807524
12/01/22, 273.16, 274.24, 271.39, 273.40, 2599642
11/30/22, 269.62, 273.31, 268.83, 272.79, 5196674
11/29/22, 271.00, 271.92, 269.47, 271.41, 2873619
11/28/22, 274.88, 275.94, 272.375, 272.88, 3160615
11/25/22, 274.51, 275.315, 272.86, 275.00, 1596579
11/23/22, 275.55, 275.65, 272.88, 273.27, 2514942
11/22/22, 275.00, 275.30, 274.30, 274.76, 2770631
11/21/22, 274.65, 274.98, 273.10, 274.52, 2974548
11/18/22, 273.92, 275.10, 272.12, 273.37, 2699237
11/17/22, 272.07, 274.35, 270.56, 273.36, 2467904
11/16/22, 268.92, 274.43, 268.92, 272.51, 4132650
11/15/22, 270.25, 271.03, 266.34, 267.84, 5429117
11/14/22, 270.93, 274.71, 270.58, 272.27, 3357448
11/11/22, 276.33, 277.00, 269.18, 271.39, 4742826
11/10/22, 281.49, 281.67, 272.58, 275.88, 4510912
11/09/22, 278.51, 280.25, 277.68, 277.79, 2610819
11/08/22, 276.86, 279.52, 276.50, 278.40, 2629039
11/07/22, 275.07, 278.0761, 275.07, 276.41, 3029606
11/04/22, 275.60, 275.71, 272.13, 274.62, 3256637
11/03/22, 269.33, 274.68, 268.38, 272.95, 3225427
11/02/22, 273.00, 276.67, 270.31, 270.37, 3070720
11/01/22, 273.69, 273.79, 269.66, 272.95, 2740902
